forma,Color,Numero de paredes,Conexión hifal,Reacción con Melzer,Textura,Nombre cientifico,genero,familia,Pais,vegetacion,habitat,Localidad,Información de la especie,Particularidad,tam_min,tam_max,tam_promedio,forma_std,forma_token,espora_cilindrica,espora_clavada,espora_elipsoide,espora_fusiforme,espora_globosa,espora_irregular,espora_oblonga,espora_ovoide,espora_piriforme,espora_reniforme,espora_subglobosa,espora_triangular,color_token,color_amarillo,color_ambar,color_blanco,color_crema,color_dorado,color_gris,color_hialino,color_marron,color_miel,color_naranja,color_negro,color_ocre,color_rojo,color_sin_reporte,color_verdoso,conexion_token,textura_tokens,tex_sup_alveolada,tex_sup_aspera,tex_sup_foveolada,tex_sup_granular,tex_sup_laberintiforme,tex_sup_lisa,tex_sup_ornamentada,tex_sup_perforada,tex_sup_reticulada,tex_sup_rugosa,tex_sup_scrobiculada,tex_sup_verrugosa,tex_est_estratificada,tex_est_laminada,tex_est_membranosa,tex_est_subcapas,tex_est_sublaminada,tex_cons_delgada,tex_cons_evanescente,tex_cons_flexible,tex_cons_fragil,tex_cons_gruesa,tex_cons_mucilaginosa,tex_cons_quebradiza,tex_cons_rigida,tex_cons_semiflexible,tex_cons_suave,tex_orn_crestas,tex_orn_depresiones,tex_orn_espinas,tex_orn_estrias,tex_orn_hoyos,tex_orn_papilas,tex_orn_protuberancias,tex_orn_proyecciones,tex_orn_pustulas,tex_orn_reticulo,tex_orn_verrugas,melzer_negativo,melzer_positivo,melzer_ninguna,melzer_paredes_internas,melzer_sin_reporte
globosas a subglobosas,amarillo palido a marron,3.0,cicatriz circular a ovoide en la region de contacto con el saco esporifero,positivo,superficie lisa con subcapas adheridas que generan pliegues al separarse,Acaulospora dilatata,Acaulospora,Acaulosporaceae,Estados Unidos,selva tropical,tropical,"Preston County, West Virginia",asociada con la formacion de orbes de germinacion en esporas maduras con contenidos visibles al desecharse,presentea una capa interna plastica que reacciona con melzer tomando tonalidades rojo purpura,100.0,130.0,115.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['amarillo', 'marron']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': ['saco_esporifero', 'cicatriz'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': ['subcapas'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosas a subglobosas,naranja a marron rojizo,2.0,hifa suspensora en forma de embudo,positivo,laminada con capa externa evanescente,Funneliformis coronatum,Funneliformis,Glomeraceae,"Italia, Israel, Turquía, Francia, España, Portugal, Marruecos, Alemania, Polonia, Suiza.",Ammophila arenaria.,Dunas costeras.,Suelos y raíces micorrizadas.,forma micorrizas vesiculo arbusculares con raices de zea mays la capa se desintegra en esporas maduras,caracteristicas distintivas largas esporas de color naranja grisaceas y hifa suspensora en forma de embudo,80.0,230.0,155.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['naranja', 'marron', 'rojo']",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['embudo'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': ['evanescente'], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosas elipsoides a irregulares,amarillo claro a ocre,6.0,hifa suspensora de m con septos que cierran el poro,positivo,laminada membranosa y granular,Funneliformis fragilistratum,Funneliformis,Glomeraceae,"Namibia (África), Dinamarca","Corynephorus, Líquenes.",Dunas estabilizadas,Suelos.,forma micorrizas vesiculo arbusculares con arbusculos hifas y vesiculas la capa es gelatinosa y evanescente con arena visible en melzer,especie con seis capas en la pared de la espora capa de color amarillo que reacciona con melzer y hifa suspensora con septos,108.0,191.0,149.5,globosa,"['irregular', 'elipsoide', 'globosa']",0,0,1,0,1,1,0,0,0,0,0,0,"['amarillo', 'ocre']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': [], 'septo': ['con_septo', 'con_septo'], 'poro': [], 'extra': []}","{'superficie': ['granular'], 'estructura': ['membranosa', 'laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosa a subglobosa,amarillo palido a dorado,3.0,hifa suspensora de forma acampanada,negativo,laminada semiflexible,Funneliformis mosseae,Funneliformis,Glomeraceae,Global,Cultivos,Suelos Agrícolas / Praderas perturbadas.,Global,forma micorrizas vesiculo arbusculares con arbusculos vesiculas y hifas extra e intraradicales presentee en suelos y raices en suelos con compactos esporocarpos,se diferencia de f caledonium por tener tres capas en la pared de la espora mientras que este ultimo tiene cuatro capas con una capa externa impermanente,80.0,280.0,180.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['amarillo', 'dorado']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['acampanada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': ['semiflexible', 'flexible'], 'ornamentacion': []}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosas a subglobosas,amarillo a anaranjado,3.0,hifa suspensora simple en forma acampanada o cilindrica,negativo,laminada con verrugas internas,Funneliformis verruculosum,Funneliformis,Glomeraceae,Polonia,Coníferas,Bosques costeros y dunas.,Suelos agrícolas y dunas.,forma micorrizas vesiculo arbusculares con arbusculos vesiculas y hifas intra y extraradicales verrugas internas en la capa de la pared de la espora,diferenciable de f geosporum por las verrugas internas en la capa ya que las de f geosporum son siempre lisas no reacciona en melzer,150.0,265.0,207.5,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['amarillo', 'naranja']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': ['cilindrica', 'acampanada'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': [], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': ['verrugas']}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
globosas a subglobosas u ovoides,amarillo palido en luz reflejada,2.0,hifa suspensora simple poro ocluido por la pared de la espora,negativo,laminada con superficie lisa,Funneliformis versiculiferum,Funneliformis,Glomeraceae,"Estados Unidos, Polonia","Rosa rugosa, Juncos",Suelos arenosos costeros,Suelos con presencia de esporocarpos.,esporas desarrolladas de una hifa suspensora simple esporocarpos con peridium compuesto de vesiculas de pared delgada,presencia de una capa tipo peridium con vesiculas en los esporocarpos caracteristica unica entre las especies descritas,49.0,100.0,74.5,globosa,"['ovoide', 'subglobosa', 'globosa']",0,0,0,0,1,0,0,1,0,0,1,0,['amarillo'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': [], 'septo': [], 'poro': ['poro_ocluido'], 'extra': []}","{'superficie': ['lisa'], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosas a subglobosas u ovoides,amarillo claro a amarillo ocre,3.0,hifa suspensora simple poro ocluido por septo continuo con la capa,negativo,lisa y laminada,Funneliformis xanthium,Funneliformis,Glomeraceae,"Grecia, España, Turquía, Italia, Israel, Polonia",Ammophila arenaria,Dunas móviles (Arena blanca),Suelos dunosos y marítimos.,esporas se adhieren fuertemente a la raiz o se forman internamente pared compuesta de tres capas capas externas rigidas y adheridas,pequenas esporas con tendencia a formar internamente o adherirse a raices,23.0,70.0,46.5,globosa,"['ovoide', 'subglobosa', 'globosa']",0,0,0,0,1,0,0,1,0,0,1,0,"['amarillo', 'ocre']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"{'estructura': ['hifa_suspensora'], 'forma': [], 'septo': ['septo_continuo'], 'poro': ['poro_ocluido'], 'extra': []}","{'superficie': ['lisa'], 'estructura': ['laminada'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosa,amarillo a marron amarillento,3.0,recta cilindrica a diferencia de mosseae la hifa no tiene forma de embudo entra recta septo curvo caracteristico,negativo,lisa semi rigida poco mucilaginosa,Funneliformis geosporum,Funneliformis,Glomeraceae,Brasil/Colombia,"Pastos, Cereales, Vegetación de duna.","Suelos ácidos, Dunas y Cultivos.",Zonas tropicales y templadas,esta especie tiende a confundirce con glomus macrocarpum,esporas solitarias,120.0,240.0,180.0,globosa,['globosa'],0,0,0,0,1,0,0,0,0,0,0,0,"['amarillo', 'marron']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'estructura': [], 'forma': ['recta', 'cilindrica', 'embudo'], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': [], 'consistencia': ['rigida', 'mucilaginosa'], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
globosa a subglobosa ocasionalmente irregular,subhialino a amarillo palido algunas esporas color paja,3.0,espora formada a partir del cuello del saculo esporifero sin hifa subtendente dejando una cicatriz circular a ovoide,positivo,ornamentada superficie con depresiones concavas,Acaulospora scrobiculata,Acaulospora,Acaulosporaceae,Brasil,Gramíneas y plantas herbáceas (frecuente en maíz),Suelos rizosféricos; ambientes naturales y agrícolas,diversas localidades,hongo micorrizico arbuscular con esporas pequenas a medianas pared trilaminar y ornamentacion scrobiculada distintiva,se distingue por las depresiones concavas en la pared esporal que pueden unirse formando canales la estructura interna es dificil de interpretar por la dispersion de luz causada por la ornamentacion,80.0,160.0,120.0,globosa,"['irregular', 'subglobosa', 'globosa']",0,0,0,0,1,1,0,0,0,0,1,0,"['amarillo', 'hialino']",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'estructura': ['hifa_subtendente', 'saco_esporifero', 'saco_esporifero', 'cicatriz'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['ornamentada'], 'estructura': [], 'consistencia': [], 'ornamentacion': ['depresiones']}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosa a subglobosa,crema a marron anaranjado palido,2.0,espora formada desde el cuello del saculo esporifero unida por un pedicelo corto dejando una cicatriz prominente,positivo,ornamentada superficie cubierta por espinas cortas y densamente agrupadas,Acaulospora spinosa,Acaulospora,Acaulosporaceae,Estados Unidos,Gramíneas y plantas herbáceas (frecuente en maíz),Suelos rizosféricos; ambientes naturales y agrícolas,Virginia Occidental,hongo micorrizico arbuscular con esporas ornamentadas pared espinosa distintiva y germinacion mediante germination orb,esporas con espinas densamente empaquetadas pared externa que se desprende muy temprano y cicatriz prominente asociada a un pedicelo corto,140.0,220.0,180.0,globosa,"['subglobosa', 'globosa']",0,0,0,0,1,0,0,0,0,0,1,0,"['crema', 'marron', 'naranja']",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"{'estructura': ['pedicelo', 'saco_esporifero', 'saco_esporifero', 'cicatriz'], 'forma': [], 'septo': [], 'poro': [], 'extra': ['cicatriz_prominente']}","{'superficie': ['ornamentada'], 'estructura': [], 'consistencia': [], 'ornamentacion': ['espinas']}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
globosa a subglobosa ocasionalmente irregular,subhialino a amarillo marron palido,3.0,espora formada a partir del cuello del saculo esporifero dejando una cicatriz circular a oval,positivo,lisa cuando l se desprende rugosa plegada cuando l persiste,Acaulospora rugosa,Acaulospora,Acaulosporaceae,Estados Unidos; Colombia,Gramíneas y plantas herbáceas,Suelos rizosféricos ácidos; ambientes naturales y agrícolas,diversas localidades,hongo micorrizico arbuscular con esporas pequenas pared trilaminar y reaccion intensa a melzer en gw,la apariencia rugosa depende de la persistencia de l lo que causo confusion taxonomica historica,60.0,100.0,80.0,globosa,"['irregular', 'subglobosa', 'globosa']",0,0,0,0,1,1,0,0,0,0,1,0,"['amarillo', 'marron', 'hialino']",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"{'estructura': ['saco_esporifero', 'saco_esporifero', 'cicatriz'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa', 'rugosa'], 'estructura': [], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
globosa,oliva palido de tono amarillo claro,5.0,la conexion es a partir del saculo esporifero,positivo,lisa y limpia algo membranosa,Entrophospora colombiana,Entrophospora,Acaulosporaceae,Colombia,Yuca (Cassava) y Pasto notatum.,Sabanas Ácidas y Cultivos,Carimagua (Meta) / Santander de Quilichao (Cauca),entrophospora colombiana fue aislada por primera vez en carimagua colombia sin embargo tambien ha sido encontrada en la region central de florida y en west virginia usa,esporas solitarias,90.0,120.0,105.0,globosa,['globosa'],0,0,0,0,1,0,0,0,0,0,0,0,"['verdoso', 'amarillo']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"{'estructura': ['saco_esporifero', 'saco_esporifero'], 'forma': [], 'septo': [], 'poro': [], 'extra': []}","{'superficie': ['lisa'], 'estructura': ['membranosa'], 'consistencia': [], 'ornamentacion': []}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
